business_id,labels
1740,0 1 2 5 6 8
1754,0 3 8
1758,1 2 4 5 6 7
1759,2 5 6 7 8
1760,1 3 5 6 8
1762,1 2 4 5 6
1768,0 3 8
1776,0 1 2 5 6 8
1780,1 3 6 8
1810,1 2 3 4 5 6 7
1830,1 2 3 4 5 6 8
1831,0 3 8
1843,1 2 3 4 5 6
1865,1 2 6
1882,0 8
1889,0 2 3 4 5 6 7 8
1924,2 3 8
1929,0 3 5 8
1932,6 8
1941,0 1 3 5 8
1958,1 2 3 5 6 8
1959,1 2 5 6 8
1962,3 5 6 8
1968,1 2 3 4 5 6 7
1975,0 3 8
1997,0 3 4 5
2009,1 2 3 5 6 7
2014,1 2 4 5 6
2017,0 3 5 8
2018,0 2 6 8
2024,1 2 5 6 7 8
2035,1 2 3 4 5 6
2037,5 6 8
2046,6 8
2048,3 8
2056,3 6 8
2090,1 2 3 4 5 6 7
2095,1 2 3 4 5 6
2111,0 2 3 5 6
2116,0 3 8
2118,6 8
2119,0 3 8
2121,2 4 5 6
2136,1 2 3 4 5 6 7 8
2139,0 8
2155,5 6 8
2162,1 2 3 5 6 8
2176,0 3 5 8
2184,0 6 8
2215,6 8
2247,1 2 3 5 6
2265,0 3 5 6
2292,1 5
2296,1 2 5 6 7
2299,0 3 8
2300,8
2319,1 2 4 5 6 7
2325,1 2 3 5 6
2329,3 5 6 8
2344,0 5 6
2346,1 2 6 8
2347,0 1 8
2381,6 8
2404,6 8
2424,0 1 2 5 6 8
2425,3 8
2438,2 3 5 6 8
2443,0 3 5 8
2451,2 4 5 6 7 8
2464,1 2 3 4 5 6 7
2473,3
2480,1 2 3 4 5 6 7
2484,0 3 8
2491,8
2515,0 3 8
2527,3 8
2560,0 2 3 5 6 8
2581,1 2 4 5 6 7
2618,1 2 3 4 5 6 7
2620,2 3 6 8
2635,2 3 5 6
2640,1 2 3 4 5 6 7
2646,1 5 6
2659,0 8
2661,
2675,1 2 3 4 5 6 7 8
2683,1 2 4 5 6 7
2716,1 2 3 5 6 7 8
2730,1 2 3 4 5 6
2738,2 5 6
2742,3 5 6
2753,1 2 4 5 6 7
2774,1 3 4 5 6 8
2787,3 5 8
2795,1 2 3 4 5 6 7
2796,0 3 8
2806,1 3 5 6
2812,1 2 4 5 6 7
2813,3
2833,3 8
2872,0 8
2878,1 2 4 5 6 7
2882,0 3 8
2886,0 3 8
2889,3 8
2895,2 3 4 5 6
2908,1 2 4 5 6
2957,1 2 3 4 5 6 7
2971,1 2 5 6 7
2985,1 2 4 5 6 7
2998,1 2 3 4 5 6 7 8
3003,0 8
3011,0 1 2 6
3013,0 1 2 3 5 6 8
3018,1 2 4 5 6 7 8
3021,0 1 3 8
3044,0 2 6 8
3055,0 2 4 5 6 7
3065,1 2 4 5 6 7
3074,5 6 8
3080,0
3093,6 8
3108,3 8
3120,0 3 8
3128,2 3 4 5 6 8
3144,1 2 5 6 7
3150,1 2 3 4 5 6
3158,3 8
3170,1 2 4 5 6
3175,3 5 6 8
3187,8
3205,0 1 2 5 6 7 8
3212,1 2 5 6 7 8
3216,1 5 6 7
3235,1 2 4 5 6 8
3242,0 2 6 8
3253,1 2 3 5 6 7
3264,3 6 8
3303,1 5 6 8
3313,1 2 4 5 6 7 8
3328,1 2 3 4 5 6 7
3330,1 2 3 4 5 6
3339,1 2 3 4 5 6 7
3352,0 3 8
3353,1 2 4 5 6
3363,3 5 8
3386,1 2 4 5 6 7
3391,1 2 3 4 5 6 7
3394,0 3 5 8
3410,1 2 3 4 5 6
3414,0 2 3 8
3421,3 8
3426,1 2 4 5 6 7
3430,0 8
3437,1 2 4 5 6 7
3441,6 8
3457,2 5 6 8
3465,1 2 3 4 5 6
3466,1 2 3 4 5 6 7 8
3470,0 8
3478,1 2 3 4 5 6 7
3501,0 8
3522,8
3538,0 3 8
3540,5 6 8
3562,1 2 3 4 5 6 7
3571,8
3593,1 3 5 8
3594,1 2 4 5 6 7
3602,1 2 4 5 6
3606,0 1 2 3 6 8
3609,8
3611,0 5 8
3625,0 8
3646,2 6 8
3657,0 1 2 3 5 6 8
3663,0 3 8
3670,1 2 4 5 6 7
3672,1 2 5 6 8
3675,1 2 3 4 5 6 7
3702,3 5 6 8
3707,1 2 3 4 5 6
3727,3 5 6 7 8
3737,1 2 4 5 6 7
3754,1 2 5 6 8
3768,1 2 3 4 5 6
3784,1 2 3 4 5 6
3828,1 2 3 5 6 7 8
3835,1 6 8
3848,1 2 3 4 5 6 7
3856,1 2 3 4 5 6 7
3874,6 8
3886,0 3 5 8
3891,3 8
3909,0 1 8
3917,1 2 5 6
3924,3 8
3926,1 2 3 4 5 6
3936,0 8
3943,3 8
3945,1 2 5 6 7
3956,0 1 2 6
3965,0 1 2 5 6 7 8
3973,1 2 4 5 6
3980,0 1 8
3982,0 6 8
3986,1 3 5 6
